Grupo,Posicao,Selecao,Pts,PJ,VIT,E,DER,GM,GC,SG
A,1,México,9,3,3,0,0,6,0,6
A,2,África do Sul,4,3,1,1,1,2,3,-1
A,3,Coreia do Sul,3,3,1,0,2,2,3,-1
A,4,Tchéquia,1,3,0,1,2,2,6,-4
B,1,Suíça,7,3,2,1,0,7,3,4
B,2,Canadá,4,3,1,1,1,8,3,5
B,3,Bósnia e Herzegovina,4,3,1,1,1,5,6,-1
B,4,Catar,1,3,0,1,2,2,10,-8
C,1,Brasil,7,3,2,1,0,7,1,6
C,2,Marrocos,7,3,2,1,0,6,3,3
C,3,Escócia,3,3,1,0,2,1,4,-3
C,4,Haiti,0,3,0,0,3,2,8,-6
D,1,Estados Unidos,6,3,2,0,1,8,4,4
D,2,Austrália,4,3,1,1,1,2,2,0
D,3,Paraguai,4,3,1,1,1,2,4,-2
D,4,Turquia,3,3,1,0,2,3,5,-2
E,1,Alemanha,6,3,2,0,1,10,4,6
E,2,Costa do Marfim,6,3,2,0,1,4,2,2
E,3,Equador,4,3,1,1,1,2,2,0
E,4,Curaçao,1,3,0,1,2,1,9,-8
F,1,Países Baixos,7,3,2,1,0,10,4,6
F,2,Japão,5,3,1,2,0,7,3,4
F,3,Suécia,4,3,1,1,1,7,7,0
F,4,Tunísia,0,3,0,0,3,2,12,-10
G,1,Bélgica,5,3,1,2,0,6,2,4
G,2,Egito,5,3,1,2,0,5,3,2
G,3,Irã,3,3,0,3,0,3,3,0
G,4,Nova Zelândia,1,3,0,1,2,4,10,-6
H,1,Espanha,7,3,2,1,0,5,0,5
H,2,Cabo Verde,3,3,0,3,0,2,2,0
H,3,Uruguai,2,3,0,2,1,3,4,-1
H,4,Arábia Saudita,2,3,0,2,1,1,5,-4
I,1,França,9,3,3,0,0,10,2,8
I,2,Noruega,6,3,2,0,1,8,7,1
I,3,Senegal,3,3,1,0,2,8,6,2
I,4,Iraque,0,3,0,0,3,1,12,-11
J,1,Argentina,9,3,3,0,0,8,1,7
J,2,Áustria,4,3,1,1,1,6,6,0
J,3,Argélia,4,3,1,1,1,5,7,-2
J,4,Jordânia,0,3,0,0,3,3,8,-5
K,1,Colômbia,7,3,2,1,0,4,1,3
K,2,Portugal,5,3,1,2,0,6,1,5
K,3,RD Congo,4,3,1,1,1,4,3,1
K,4,Uzbequistão,0,3,0,0,3,2,11,-9
L,1,Inglaterra,7,3,2,1,0,6,2,4
L,2,Croácia,6,3,2,0,1,5,5,0
L,3,Gana,4,3,1,1,1,2,2,0
L,4,Panamá,0,3,0,0,3,4,8,-4
